"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Goa","North Goa","Mapusa","Copra","Copra","01/02/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","02/02/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","04/02/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","08/02/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","09/02/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","12/02/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","15/02/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","16/02/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","17/02/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","18/02/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","19/02/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","21/02/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","22/02/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","02/03/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","04/03/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","07/03/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","08/03/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","09/03/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","10/03/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","11/03/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","14/03/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","15/03/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","16/03/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","17/03/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","21/03/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","22/03/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","23/03/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","24/03/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","25/03/2022","5600","8100","6800"
"Goa","North Goa","Mapusa","Copra","Copra","26/03/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","28/03/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","29/03/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","30/03/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","01/04/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","05/04/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","06/04/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","07/04/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","08/04/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","09/04/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","11/04/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","12/04/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","13/04/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","14/04/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","15/04/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","16/04/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","18/04/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","23/04/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","25/04/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","26/04/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","27/04/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","28/04/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","29/04/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","30/04/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","02/05/2022","5600","8100","6850"
"Goa","North Goa","Mapusa","Copra","Copra","03/05/2022","5800","8100","6950"
"Goa","North Goa","Mapusa","Copra","Copra","04/05/2022","6000","8100","7050"
"Goa","North Goa","Mapusa","Copra","Copra","05/05/2022","6200","8100","7150"
"Goa","North Goa","Mapusa","Copra","Copra","06/05/2022","6200","8100","7150"
"Goa","North Goa","Mapusa","Copra","Copra","07/05/2022","6200","8100","7150"
"Goa","North Goa","Mapusa","Copra","Copra","09/05/2022","6200","8100","7150"
"Goa","North Goa","Mapusa","Copra","Copra","10/05/2022","6200","8100","7150"
"Goa","North Goa","Mapusa","Copra","Copra","11/05/2022","6200","8100","7150"
"Goa","North Goa","Mapusa","Copra","Copra","12/05/2022","6200","7900","7050"
"Goa","North Goa","Mapusa","Copra","Copra","13/05/2022","6200","7600","6900"
"Goa","North Goa","Mapusa","Copra","Copra","18/05/2022","5900","7300","6600"
"Goa","North Goa","Mapusa","Copra","Copra","19/05/2022","5900","7300","6600"
"Goa","North Goa","Mapusa","Copra","Copra","23/05/2022","5900","7300","6600"
"Goa","North Goa","Mapusa","Copra","Copra","24/05/2022","5900","7300","6600"
"Goa","North Goa","Mapusa","Copra","Copra","25/05/2022","5900","7300","6600"
"Goa","North Goa","Mapusa","Copra","Copra","26/05/2022","5700","7100","6400"
"Goa","North Goa","Mapusa","Copra","Copra","27/05/2022","5600","6400","6000"
"Goa","North Goa","Mapusa","Copra","Copra","28/05/2022","5600","6900","6250"
"Goa","North Goa","Mapusa","Copra","Copra","30/05/2022","5600","6900","6250"
"Goa","North Goa","Mapusa","Copra","Copra","31/05/2022","5600","6900","6250"
"Goa","North Goa","Mapusa","Copra","Copra","03/06/2022","5600","6900","6250"
"Goa","North Goa","Mapusa","Copra","Copra","04/06/2022","5600","6900","6250"
"Goa","North Goa","Mapusa","Copra","Copra","06/06/2022","5600","6900","6250"
"Goa","North Goa","Mapusa","Copra","Copra","07/06/2022","5600","6900","6250"
"Goa","North Goa","Mapusa","Copra","Copra","08/06/2022","5600","6900","6250"
"Goa","North Goa","Mapusa","Copra","Copra","10/06/2022","5600","6900","6250"
"Goa","North Goa","Mapusa","Copra","Copra","11/06/2022","5600","6900","6250"
"Goa","North Goa","Mapusa","Copra","Copra","14/06/2022","5600","6900","6250"
"Goa","North Goa","Mapusa","Copra","Copra","16/06/2022","5600","6900","6250"
"Goa","North Goa","Mapusa","Copra","Copra","18/06/2022","5600","6900","6250"
"Karnataka","Bangalore","Bangalore","Copra","Copra","01/01/2022","18500","21000","19750"
"Karnataka","Bangalore","Bangalore","Copra","Copra","03/01/2022","18500","21000","19750"
"Karnataka","Bangalore","Bangalore","Copra","Copra","11/01/2022","18500","21000","19750"
"Karnataka","Bangalore","Bangalore","Copra","Copra","14/01/2022","18500","20500","18500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","27/01/2022","18500","20500","19500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","04/02/2022","18500","20500","19500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","24/02/2022","19000","20000","19500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","28/02/2022","19000","20000","19500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","05/03/2022","19000","20000","19500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","07/03/2022","19000","20000","19500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","08/03/2022","19000","20000","19500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","10/03/2022","19000","20000","19500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","15/03/2022","20000","21000","20500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","19/03/2022","20000","21000","20500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","23/03/2022","20000","21000","20500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","28/03/2022","20000","21000","20500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","08/04/2022","18000","20500","19250"
"Karnataka","Bangalore","Bangalore","Copra","Copra","22/04/2022","18000","20500","19250"
"Karnataka","Bangalore","Bangalore","Copra","Copra","30/04/2022","19000","20000","19500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","07/05/2022","19000","20000","19500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","23/05/2022","19000","20000","19500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","26/05/2022","19000","20000","19500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","30/05/2022","19000","20000","19500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","13/06/2022","16000","16500","16250"
"Karnataka","Bangalore","Bangalore","Copra","Copra","14/06/2022","16000","16500","16250"
"Karnataka","Bangalore","Bangalore","Copra","Copra","17/06/2022","16000","16500","16250"
"Karnataka","Bangalore","Bangalore","Copra","Copra","22/06/2022","9800","11300","10550"
"Karnataka","Bangalore","Bangalore","Copra","Copra","24/06/2022","16000","18000","17000"
"Karnataka","Bangalore","Bangalore","Copra","Copra","29/06/2022","16000","18000","17000"
"Karnataka","Bangalore","Bangalore","Copra","Copra","05/07/2022","16000","18000","17000"
"Karnataka","Bangalore","Bangalore","Copra","Copra","07/07/2022","16000","18000","17000"
"Karnataka","Bangalore","Bangalore","Copra","Copra","11/07/2022","16000","17000","16500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","18/07/2022","16000","17000","16500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","02/08/2022","16000","18000","17000"
"Karnataka","Bangalore","Bangalore","Copra","Copra","19/08/2022","18000","19000","18500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","22/08/2022","16000","19000","17500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","25/08/2022","16000","19000","17500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","29/08/2022","16000","19000","17500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","07/09/2022","16000","17000","16500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","14/09/2022","16000","17000","16500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","17/09/2022","16500","18500","17500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","20/09/2022","16500","18500","17500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","26/09/2022","16500","18500","17500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","06/10/2022","16500","18500","17500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","10/10/2022","16500","18500","17500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","25/10/2022","15500","17500","16500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","31/10/2022","15500","17500","16500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","04/11/2022","15500","17500","16500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","08/11/2022","15500","17500","16500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","16/11/2022","15500","17500","16500"
"Karnataka","Bangalore","Bangalore","Copra","Copra","25/11/2022","14000","16000","15000"
"Karnataka","Bangalore","Bangalore","Copra","Copra","29/11/2022","14000","16000","15000"
"Karnataka","Bangalore","Bangalore","Copra","Copra","03/12/2022","14000","16000","15000"
"Karnataka","Chikmagalur","Kadur","Copra","Medium","10/03/2022","15000","15000","15000"
"Karnataka","Chikmagalur","Kadur","Copra","Medium","03/10/2022","13000","13000","13000"
"Karnataka","Chikmagalur","Kadur","Copra","Medium","10/10/2022","13300","13300","13300"
"Karnataka","Chikmagalur","Tarikere","Copra","Copra","04/11/2022","12500","12500","12500"
"Karnataka","Chikmagalur","Tarikere","Copra","Copra","28/11/2022","12000","12000","12000"
"Karnataka","Chikmagalur","Tarikere","Copra","other","17/06/2022","12500","12500","12500"
"Karnataka","Chikmagalur","Tarikere","Copra","other","24/06/2022","12500","12500","12500"
"Karnataka","Chikmagalur","Tarikere","Copra","other","01/07/2022","12500","12500","12500"
"Karnataka","Chikmagalur","Tarikere","Copra","other","11/07/2022","12500","12500","12500"
"Karnataka","Chikmagalur","Tarikere","Copra","other","14/11/2022","13000","13000","13000"
"Karnataka","Chikmagalur","Tarikere","Copra","other","18/11/2022","11800","11800","11800"
"Karnataka","Hassan","Arasikere","Copra","Copra","04/01/2022","14000","17670","16598"
"Karnataka","Hassan","Arasikere","Copra","Copra","07/01/2022","14000","16775","15500"
"Karnataka","Hassan","Arasikere","Copra","Copra","11/01/2022","15000","17045","16410"
"Karnataka","Hassan","Arasikere","Copra","Copra","14/01/2022","15000","17350","16854"
"Karnataka","Hassan","Arasikere","Copra","Copra","18/01/2022","15600","17415","16007"
"Karnataka","Hassan","Arasikere","Copra","Copra","21/01/2022","15000","17418","16912"
"Karnataka","Hassan","Arasikere","Copra","Copra","25/01/2022","15000","17325","16549"
"Karnataka","Hassan","Arasikere","Copra","Copra","28/01/2022","17000","17170","17045"
"Karnataka","Hassan","Arasikere","Copra","Copra","01/02/2022","15000","17330","17308"
"Karnataka","Hassan","Arasikere","Copra","Copra","04/02/2022","16000","17580","16887"
"Karnataka","Hassan","Arasikere","Copra","Copra","11/02/2022","17500","17810","17789"
"Karnataka","Hassan","Arasikere","Copra","Copra","15/02/2022","15000","17805","17197"
"Karnataka","Hassan","Arasikere","Copra","Copra","18/02/2022","15000","17830","17325"
"Karnataka","Hassan","Arasikere","Copra","Copra","22/02/2022","15000","17800","17000"
"Karnataka","Hassan","Arasikere","Copra","Copra","25/02/2022","15000","17705","16047"
"Karnataka","Hassan","Arasikere","Copra","Copra","11/03/2022","14000","17470","16538"
"Karnataka","Hassan","Arasikere","Copra","Copra","15/03/2022","14000","17380","14844"
"Karnataka","Hassan","Arasikere","Copra","Copra","18/03/2022","14000","17225","15688"
"Karnataka","Hassan","Arasikere","Copra","Copra","22/03/2022","15500","16570","16554"
"Karnataka","Hassan","Arasikere","Copra","Copra","25/03/2022","15000","16250","15219"
"Karnataka","Hassan","Arasikere","Copra","Copra","29/03/2022","15000","16450","16261"
"Karnataka","Hassan","Arasikere","Copra","Copra","01/04/2022","14000","16715","16226"
"Karnataka","Hassan","Arasikere","Copra","Copra","05/04/2022","16750","17030","16883"
"Karnataka","Hassan","Arasikere","Copra","Copra","08/04/2022","14000","17115","15622"
"Karnataka","Hassan","Arasikere","Copra","Copra","12/04/2022","14000","17010","14794"
"Karnataka","Hassan","Arasikere","Copra","Copra","13/04/2022","14000","17010","14794"
"Karnataka","Hassan","Arasikere","Copra","Copra","19/04/2022","16500","16950","16742"
"Karnataka","Hassan","Arasikere","Copra","Copra","22/04/2022","14000","17030","16229"
"Karnataka","Hassan","Arasikere","Copra","Copra","26/04/2022","15000","17285","16452"
"Karnataka","Hassan","Arasikere","Copra","Copra","29/04/2022","16000","17275","16787"
