"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Kerala","Ernakulam","Keezhampara","Egg","Egg","01/01/2022","600","600","600"
"Kerala","Ernakulam","Keezhampara","Egg","Egg","03/01/2022","600","600","600"
"Kerala","Ernakulam","Keezhampara","Egg","Egg","12/01/2022","600","600","600"
"Kerala","Ernakulam","Keezhampara","Egg","Egg","15/01/2022","600","600","600"
"Kerala","Ernakulam","Keezhampara","Egg","Egg","31/01/2022","600","600","600"
"Kerala","Ernakulam","Keezhampara","Egg","Egg","04/02/2022","600","600","600"
"Kerala","Ernakulam","Keezhampara","Egg","Egg","09/02/2022","600","600","600"
"Kerala","Ernakulam","Keezhampara","Egg","Egg","16/02/2022","600","600","600"
"Kerala","Ernakulam","Keezhampara","Egg","Egg","21/02/2022","600","600","600"
"Kerala","Ernakulam","Keezhampara","Egg","Egg","22/02/2022","600","600","600"
"Kerala","Ernakulam","Keezhampara","Egg","Egg","05/03/2022","600","600","600"
"Kerala","Ernakulam","Keezhampara","Egg","Egg","08/03/2022","600","600","600"
"Kerala","Ernakulam","Keezhampara","Egg","Egg","08/05/2022","600","600","600"
"Kerala","Ernakulam","Keezhampara","Egg","Egg","25/05/2022","600","600","600"
"Kerala","Ernakulam","Keezhampara","Egg","Egg","01/11/2022","600","600","600"
"Kerala","Ernakulam","Keezhampara","Egg","Egg","13/11/2022","600","600","600"
"Odisha","Angul","Angaura","Egg","Egg","07/01/2022","900","1050","950"
"Odisha","Angul","Angaura","Egg","Egg","04/02/2022","950","1050","1000"
"Odisha","Angul","Angaura","Egg","Egg","13/02/2022","1050","1100","1080"
"Odisha","Angul","Angaura","Egg","Egg","04/03/2022","950","1050","980"
"Odisha","Angul","Angaura","Egg","Egg","13/03/2022","950","1000","980"
"Odisha","Angul","Angaura","Egg","Egg","05/04/2022","900","950","920"
"Odisha","Angul","Angaura","Egg","Egg","08/04/2022","900","950","930"
"Odisha","Angul","Angaura","Egg","Egg","16/04/2022","900","950","920"
"Odisha","Angul","Talcher","Egg","Egg","12/01/2022","950","1100","1050"
"Odisha","Angul","Talcher","Egg","Egg","09/02/2022","950","1050","1020"
"Odisha","Angul","Talcher","Egg","Egg","19/02/2022","1000","1080","1050"
"Odisha","Angul","Talcher","Egg","Egg","20/02/2022","1000","1100","1050"
"Odisha","Angul","Talcher","Egg","Egg","02/03/2022","900","1040","950"
"Odisha","Angul","Talcher","Egg","Egg","15/03/2022","950","1000","980"
"Odisha","Angul","Talcher","Egg","Egg","01/04/2022","900","950","920"
"Odisha","Angul","Talcher","Egg","Egg","08/05/2022","900","950","930"
"Odisha","Angul","Talcher","Egg","Egg","11/05/2022","900","950","930"
"Odisha","Angul","Talcher","Egg","Egg","06/07/2022","1080","1200","1150"
"Odisha","Ganjam","Digapahandi","Egg","Egg","03/01/2022","4.1","4.35","4.25"
"Odisha","Ganjam","Digapahandi","Egg","Egg","06/01/2022","3.85","4.25","4.1"
"Odisha","Ganjam","Digapahandi","Egg","Egg","09/01/2022","3.85","4.25","4.1"
"Odisha","Ganjam","Digapahandi","Egg","Egg","13/01/2022","3.85","4.25","4"
"Odisha","Ganjam","Digapahandi","Egg","Egg","16/01/2022","3.85","4.35","4.25"
