"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Chattisgarh","Raigarh","Raigarh","Ground Nut Seed","Other","29/06/2022","4300","4300","4300"
"Gujarat","Amreli","Amreli","Ground Nut Seed","Ground Nut Seed","01/01/2022","4500","5725","5400"
"Gujarat","Amreli","Amreli","Ground Nut Seed","Ground Nut Seed","03/01/2022","4750","6375","5700"
"Gujarat","Amreli","Amreli","Ground Nut Seed","Ground Nut Seed","04/01/2022","5150","6500","6000"
"Gujarat","Amreli","Amreli","Ground Nut Seed","Ground Nut Seed","05/01/2022","4775","6255","5790"
"Gujarat","Amreli","Amreli","Ground Nut Seed","Ground Nut Seed","06/01/2022","4500","6805","6125"
"Gujarat","Amreli","Amreli","Ground Nut Seed","Ground Nut Seed","07/01/2022","5500","6460","6000"
"Gujarat","Amreli","Amreli","Ground Nut Seed","Ground Nut Seed","08/01/2022","4500","6625","5650"
"Gujarat","Amreli","Amreli","Ground Nut Seed","Ground Nut Seed","10/01/2022","5000","5960","5450"
"Gujarat","Amreli","Amreli","Ground Nut Seed","Ground Nut Seed","11/01/2022","5315","6765","5675"
"Gujarat","Amreli","Amreli","Ground Nut Seed","Ground Nut Seed","12/01/2022","4500","6505","5825"
"Gujarat","Amreli","Amreli","Ground Nut Seed","Ground Nut Seed","13/01/2022","4750","6225","5750"
"Gujarat","Amreli","Amreli","Ground Nut Seed","Ground Nut Seed","15/01/2022","5005","6490","5910"
"Gujarat","Amreli","Amreli","Ground Nut Seed","Ground Nut Seed","17/01/2022","4675","6375","5545"
"Gujarat","Amreli","Amreli","Ground Nut Seed","Ground Nut Seed","18/01/2022","4450","6125","5625"
"Gujarat","Amreli","Amreli","Ground Nut Seed","Ground Nut Seed","19/01/2022","5000","6630","6000"
"Gujarat","Amreli","Amreli","Ground Nut Seed","Ground Nut Seed","20/01/2022","5655","6375","5990"
"Gujarat","Amreli","Amreli","Ground Nut Seed","Ground Nut Seed","21/01/2022","5500","6755","6505"
"Gujarat","Amreli","Amreli","Ground Nut Seed","Ground Nut Seed","22/01/2022","4400","6515","6515"
"Gujarat","Amreli","Amreli","Ground Nut Seed","Ground Nut Seed","24/01/2022","5400","5950","5740"
"Gujarat","Amreli","Amreli","Ground Nut Seed","Ground Nut Seed","25/01/2022","5400","6500","5600"
"Gujarat","Amreli","Amreli","Ground Nut Seed","Ground Nut Seed","27/01/2022","5400","6625","6005"
"Gujarat","Amreli","Amreli","Ground Nut Seed","Ground Nut Seed","28/01/2022","4000","6825","6000"
"Gujarat","Amreli","Amreli","Ground Nut Seed","Ground Nut Seed","01/02/2022","4825","6945","5830"
"Gujarat","Amreli","Amreli","Ground Nut Seed","Ground Nut Seed","02/02/2022","4350","5755","5425"
