"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Bihar","Kishanganj","Kishanganj","Mustard Oil","Other","22/03/2022","15000","17500","16000"
"Bihar","Nawada","Nawada","Mustard Oil","Mustard Oil","11/10/2022","21000","23000","22500"
"Bihar","Nawada","Nawada","Mustard Oil","Mustard Oil","01/11/2022","2850","2950","2900"
"Bihar","Nawada","Nawada","Mustard Oil","Mustard Oil","02/11/2022","2760","2850","2800"
"Bihar","Nawada","Nawada","Mustard Oil","Mustard Oil","03/11/2022","2800","2900","2850"
"Bihar","Nawada","Nawada","Mustard Oil","Mustard Oil","04/11/2022","2750","2900","2850"
"Bihar","Nawada","Nawada","Mustard Oil","Mustard Oil","05/11/2022","2800","2900","2850"
"Bihar","Nawada","Nawada","Mustard Oil","Mustard Oil","06/11/2022","2650","2750","2700"
"Bihar","Nawada","Nawada","Mustard Oil","Mustard Oil","07/11/2022","2700","2800","2750"
"Bihar","Nawada","Nawada","Mustard Oil","Mustard Oil","08/11/2022","2650","2750","2700"
"Bihar","Nawada","Nawada","Mustard Oil","Mustard Oil","09/11/2022","2750","2850","2800"
"Bihar","Nawada","Nawada","Mustard Oil","Mustard Oil","10/11/2022","2800","2900","2850"
"Bihar","Nawada","Nawada","Mustard Oil","Mustard Oil","11/11/2022","2650","2800","2750"
"Bihar","Nawada","Nawada","Mustard Oil","Mustard Oil","12/11/2022","2700","2800","2750"
"Bihar","Nawada","Nawada","Mustard Oil","Mustard Oil","13/11/2022","2650","2800","2750"
"Bihar","Nawada","Nawada","Mustard Oil","Mustard Oil","15/11/2022","2750","2900","2850"
"Bihar","Nawada","Nawada","Mustard Oil","Mustard Oil","16/11/2022","2650","2800","2750"
"Bihar","Nawada","Nawada","Mustard Oil","Mustard Oil","17/11/2022","2700","2850","2800"
"Bihar","Nawada","Nawada","Mustard Oil","Mustard Oil","18/11/2022","2600","2700","2650"
"Bihar","Nawada","Nawada","Mustard Oil","Mustard Oil","19/11/2022","2700","2800","2750"
"Bihar","Nawada","Nawada","Mustard Oil","Mustard Oil","20/11/2022","2650","2750","2700"
"Bihar","Nawada","Nawada","Mustard Oil","Mustard Oil","21/11/2022","2700","2800","2750"
"Bihar","Nawada","Nawada","Mustard Oil","Mustard Oil","22/11/2022","2650","2750","2700"
"Bihar","Nawada","Nawada","Mustard Oil","Mustard Oil","23/11/2022","2750","2850","2800"
"Bihar","Nawada","Nawada","Mustard Oil","Mustard Oil","24/11/2022","2700","2800","2750"
"Bihar","Nawada","Nawada","Mustard Oil","Mustard Oil","25/11/2022","2600","2750","2700"
"Bihar","Nawada","Nawada","Mustard Oil","Mustard Oil","26/11/2022","2700","2800","2750"
"Bihar","Nawada","Nawada","Mustard Oil","Mustard Oil","28/11/2022","2750","2850","2800"
"Bihar","Nawada","Nawada","Mustard Oil","Mustard Oil","29/11/2022","2750","2850","2800"
"Bihar","Nawada","Nawada","Mustard Oil","Mustard Oil","30/11/2022","2750","2900","2850"
