"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Other","01/01/2022","38600","46600","42600"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Other","03/01/2022","38600","46600","42600"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Other","04/01/2022","38600","46300","42450"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Other","05/01/2022","38600","46300","42450"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Other","08/01/2022","38600","46300","42450"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Other","10/01/2022","38600","46300","42450"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Other","11/01/2022","38600","46000","42300"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Other","12/01/2022","38600","46000","42300"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Other","13/01/2022","38600","46000","42300"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Other","14/01/2022","38600","46000","42300"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Other","15/01/2022","38600","46000","42300"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Other","17/01/2022","38600","46000","42300"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Other","18/01/2022","38600","46000","42300"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Other","19/01/2022","38600","46000","42300"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Other","20/01/2022","38600","46000","42300"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Other","21/01/2022","38600","46000","42300"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Other","11/03/2022","39800","43500","41650"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Other","17/05/2022","38200","40500","39350"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Other","27/05/2022","37700","37700","37700"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","22/01/2022","38600","46000","42300"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","24/01/2022","38600","46000","42300"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","28/01/2022","38600","46000","42300"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","29/01/2022","38900","46000","42450"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","31/01/2022","39200","46000","42600"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","01/02/2022","39200","45800","42500"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","02/02/2022","39200","45800","42500"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","03/02/2022","39200","45800","42500"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","04/02/2022","39200","45500","42350"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","05/02/2022","39200","45300","42250"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","07/02/2022","39200","45300","42250"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","08/02/2022","39200","45300","42250"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","09/02/2022","39200","45300","42250"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","10/02/2022","39200","45300","42250"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","11/02/2022","39200","39200","39200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","12/02/2022","39200","45200","42200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","15/02/2022","39200","45200","42200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","16/02/2022","39500","44900","42200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","17/02/2022","39800","44600","42200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","18/02/2022","39800","44600","42200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","19/02/2022","39800","44600","42200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","21/02/2022","39800","44600","42200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","22/02/2022","39800","44600","42200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","23/02/2022","39800","44300","42050"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","02/03/2022","39800","43500","41650"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","03/03/2022","39800","43500","41650"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","04/03/2022","39800","43500","41650"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","07/03/2022","39800","43500","41650"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","08/03/2022","39800","43500","41650"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","09/03/2022","39800","43500","41650"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","10/03/2022","39800","43500","41650"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","14/03/2022","39500","42500","41000"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","15/03/2022","39200","42000","40600"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","16/03/2022","38900","41500","40200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","17/03/2022","38900","41500","40200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","21/03/2022","38600","41000","39800"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","22/03/2022","38300","39400","38850"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","23/03/2022","38300","39400","38850"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","24/03/2022","38600","39400","39000"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","25/03/2022","38900","39400","39150"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","26/03/2022","38900","39400","39150"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","28/03/2022","38900","39400","39150"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","29/03/2022","38900","39400","39150"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","30/03/2022","38900","39400","39150"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","01/04/2022","38900","41000","39950"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","05/04/2022","38900","41000","39950"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","06/04/2022","38900","41000","39950"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","07/04/2022","38900","41000","39950"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","08/04/2022","38900","41000","39950"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","09/04/2022","38900","41000","39950"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","11/04/2022","38900","41000","39950"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","12/04/2022","38900","41000","39950"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","13/04/2022","38900","41000","39950"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","14/04/2022","38900","41000","39950"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","15/04/2022","38900","41000","39950"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","16/04/2022","38900","41000","39950"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","18/04/2022","38900","41000","39950"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","23/04/2022","38900","41000","39950"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","25/04/2022","38900","41000","39950"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","26/04/2022","38900","41000","39950"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","27/04/2022","38900","41000","39950"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","28/04/2022","38900","41000","39950"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","29/04/2022","38900","41000","39950"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","30/04/2022","38900","41000","39950"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","02/05/2022","38900","41000","39950"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","04/05/2022","38900","41000","39950"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","05/05/2022","38900","41000","39950"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","06/05/2022","38900","41000","39950"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","09/05/2022","38500","41000","39750"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","11/05/2022","38400","41000","39700"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","12/05/2022","38400","41000","39700"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","13/05/2022","38400","41000","39700"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","16/05/2022","38400","41000","39700"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","18/05/2022","38100","40000","39050"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","19/05/2022","38100","40000","39050"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","21/05/2022","37900","38500","38200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","23/05/2022","37900","37900","37900"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","24/05/2022","37900","37900","37900"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","25/05/2022","37900","37900","37900"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","26/05/2022","37900","37900","37900"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","28/05/2022","37700","37700","37700"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","30/05/2022","37700","37700","37700"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","31/05/2022","37700","37700","37700"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","03/06/2022","36800","36800","36800"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","04/06/2022","36500","36500","36500"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","06/06/2022","36200","36200","36200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","07/06/2022","36200","36200","36200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","08/06/2022","36200","36200","36200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","10/06/2022","36200","36200","36200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","11/06/2022","36200","36200","36200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","13/06/2022","36200","36200","36200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","14/06/2022","36200","36200","36200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","15/06/2022","36200","36200","36200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","16/06/2022","36200","36200","36200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","17/06/2022","36200","36200","36200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","18/06/2022","36400","36400","36400"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","20/06/2022","36600","36600","36600"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","21/06/2022","36600","36600","36600"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","22/06/2022","36600","36600","36600"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","23/06/2022","36600","36600","36600"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","24/06/2022","36600","36600","36600"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","27/06/2022","36600","36600","36600"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","28/06/2022","36600","36600","36600"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","29/06/2022","36600","36600","36600"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","30/06/2022","36600","36600","36600"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","02/07/2022","36600","36600","36600"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","04/07/2022","36600","36600","36600"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","05/07/2022","36300","36300","36300"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","06/07/2022","36300","36300","36300"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","13/07/2022","36000","36000","36000"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","14/07/2022","36000","36000","36000"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","15/07/2022","36000","36000","36000"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","16/07/2022","36000","36000","36000"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","19/07/2022","36000","36000","36000"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","20/07/2022","36000","36000","36000"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","21/07/2022","36000","36000","36000"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","23/07/2022","36000","36000","36000"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","25/07/2022","36400","36400","36400"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","27/07/2022","36800","36800","36800"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","28/07/2022","37000","37000","37000"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","29/07/2022","37200","37200","37200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","30/07/2022","37200","37200","37200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","01/08/2022","37200","37200","37200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","02/08/2022","37200","37200","37200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","03/08/2022","37200","37200","37200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","04/08/2022","37200","37200","37200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","05/08/2022","37200","37200","37200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","06/08/2022","37200","37200","37200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","08/08/2022","37200","37200","37200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","09/08/2022","37200","37200","37200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","13/08/2022","37200","37200","37200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","16/08/2022","37200","37200","37200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","17/08/2022","37400","37400","37400"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","18/08/2022","37700","37700","37700"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","23/08/2022","38900","38900","38900"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","24/08/2022","39200","39200","39200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","25/08/2022","39200","39200","39200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","26/08/2022","39200","39200","39200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","27/08/2022","39200","39200","39200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","29/08/2022","39200","39200","39200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","03/09/2022","39200","39200","39200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","07/09/2022","39200","39200","39200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","09/09/2022","39200","39200","39200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","10/09/2022","39400","39400","39400"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","19/09/2022","39400","39400","39400"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","22/09/2022","39400","39400","39400"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","23/09/2022","39400","39400","39400"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","27/09/2022","39400","39400","39400"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","28/09/2022","39400","39400","39400"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","29/09/2022","39400","39400","39400"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","30/09/2022","39400","39400","39400"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","01/10/2022","39400","39400","39400"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","03/10/2022","39400","39400","39400"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","04/10/2022","39400","39400","39400"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","11/10/2022","39400","39400","39400"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","12/10/2022","39200","39200","39200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","13/10/2022","39200","39200","39200"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","15/10/2022","38800","38800","38800"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","18/10/2022","38800","38800","38800"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","19/10/2022","38800","38800","38800"
"Goa","North Goa","Mapusa","Arecanut(Betelnut/Supari)","Rashi","20/10/2022","38800","38800","38800"
