"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","03/01/2022","4545","5355","5268"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","04/01/2022","4965","5377","5360"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","05/01/2022","5188","5430","5410"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","06/01/2022","5227","5480","5458"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","07/01/2022","5380","5519","5480"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","08/01/2022","5290","5492","5453"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","10/01/2022","4848","5575","5488"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","11/01/2022","3223","5611","5580"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","12/01/2022","5078","5715","5648"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","17/01/2022","5200","5659","5520"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","18/01/2022","5339","5733","5690"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","19/01/2022","5590","5893","5788"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","20/01/2022","5300","5869","5850"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","21/01/2022","5640","5918","5905"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","22/01/2022","4823","5958","5860"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","24/01/2022","4444","5981","5929"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","25/01/2022","5879","6010","6010"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","27/01/2022","5630","6034","5724"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","28/01/2022","5840","5888","5888"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","29/01/2022","5830","6018","5958"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","31/01/2022","4623","6048","5992"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","02/02/2022","5690","6080","6057"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","03/02/2022","4853","6129","6089"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","04/02/2022","5555","6030","5839"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","05/02/2022","5543","6162","6120"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","07/02/2022","6040","6159","6159"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","08/02/2022","6020","6208","6188"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","09/02/2022","5939","6278","6248"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","10/02/2022","5253","6318","6208"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","11/02/2022","6119","6340","6320"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","12/02/2022","6058","6125","6125"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","14/02/2022","6275","6475","6435"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","15/02/2022","6116","6425","6226"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","16/02/2022","6240","6450","6288"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","17/02/2022","6300","6510","6455"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","18/02/2022","6153","6575","6525"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","19/02/2022","6420","6590","6590"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","21/02/2022","6106","6610","6589"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","22/02/2022","6447","6650","6619"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","23/02/2022","5913","6513","6363"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","24/02/2022","5823","6450","6380"
"Andhra Pradesh","Kurnool","Adoni","Castor Seed","Castor seed","25/02/2022","6010","6530","6450"
