"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","04/01/2022","5190","8800","8200"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","10/01/2022","8900","8900","8900"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","13/01/2022","9370","9650","9650"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","25/01/2022","9500","9500","9500"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","29/01/2022","8750","9510","9400"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","05/02/2022","9175","9175","9175"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","11/02/2022","6600","6600","6600"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","12/02/2022","6300","6300","6300"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","19/03/2022","5000","5300","5200"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","23/03/2022","5300","5300","5300"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","24/03/2022","5200","6000","5200"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","25/03/2022","5760","7100","6022"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","28/03/2022","5000","9300","5300"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","29/03/2022","7700","9400","8860"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","09/04/2022","9600","11491","11000"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","23/04/2022","10000","10650","10650"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","25/04/2022","9600","10000","10000"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","10/05/2022","6640","10199","9500"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","11/05/2022","8000","10500","9500"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","12/05/2022","7500","10415","9500"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","13/05/2022","8200","10801","9300"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","14/05/2022","7000","10595","9860"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","17/05/2022","8500","10500","9660"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","19/05/2022","8050","10500","9800"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","20/05/2022","8800","10445","10181"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","22/05/2022","9500","10200","9650"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","23/05/2022","8800","9825","9600"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","24/05/2022","10000","10000","10000"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","27/05/2022","9000","9500","9200"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","29/05/2022","7281","9700","9300"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","30/05/2022","8000","9200","8600"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","06/06/2022","9999","10300","9999"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","07/06/2022","8706","10244","9425"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","10/06/2022","9495","9495","9495"
"Chattisgarh","Balodabazar","Bhatapara","Corriander seed","A-1, Green","15/06/2022","8699","10400","10110"
