"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Odisha","Angul","Angaura","Maida Atta","Maida Atta","06/02/2022","3100","3300","3200"
"Odisha","Angul","Angaura","Maida Atta","Maida Atta","08/02/2022","3000","3200","3100"
"Odisha","Angul","Angaura","Maida Atta","Maida Atta","02/03/2022","3000","3200","3100"
"Odisha","Angul","Talcher","Maida Atta","Maida Atta","11/03/2022","3000","3200","3100"
"Odisha","Angul","Talcher","Maida Atta","Maida Atta","19/04/2022","3000","3500","3200"
"Odisha","Rayagada","Gunpur","Maida Atta","Maida Atta","19/03/2022","2450","2500","2500"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","07/01/2022","2300","2400","2350"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","14/01/2022","2300","2400","2360"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","21/01/2022","2300","2400","2350"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","28/01/2022","2300","2400","2340"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","04/02/2022","2350","2450","2400"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","11/02/2022","2400","2500","2460"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","18/02/2022","2400","2500","2450"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","25/02/2022","2400","2500","2450"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","04/03/2022","2450","2550","2500"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","11/03/2022","2550","2650","2600"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","25/03/2022","2600","2700","2650"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","01/04/2022","2500","2600","2550"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","08/04/2022","2550","2650","2600"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","15/04/2022","2600","2700","2650"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","22/04/2022","2600","2700","2650"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","29/04/2022","2600","2700","2650"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","06/05/2022","2600","2700","2650"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","20/05/2022","2650","2750","2700"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","27/05/2022","2700","2800","2750"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","03/06/2022","2700","2800","2750"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","10/06/2022","2630","2700","2670"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","17/06/2022","2620","2700","2660"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","24/06/2022","2650","2720","2680"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","01/07/2022","2650","2750","2680"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","08/07/2022","2600","2700","2650"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","15/07/2022","2550","2650","2600"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","22/07/2022","2580","2660","2620"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","29/07/2022","2620","2700","2660"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","05/08/2022","2620","2700","2660"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","12/08/2022","2920","3000","2960"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","19/08/2022","2850","2950","2900"
"Uttar Pradesh","Sultanpur","Jafarganj","Maida Atta","Maida Atta","02/09/2022","2900","3000","2950"
"Uttar Pradesh","Sultanpur","Sultanpur","Maida Atta","Maida Atta","07/01/2022","2200","2430","2350"
"Uttar Pradesh","Sultanpur","Sultanpur","Maida Atta","Maida Atta","14/01/2022","2300","2400","2360"
"Uttar Pradesh","Sultanpur","Sultanpur","Maida Atta","Maida Atta","21/01/2022","2300","2400","2350"
"Uttar Pradesh","Sultanpur","Sultanpur","Maida Atta","Maida Atta","28/01/2022","2350","2500","2400"
"Uttar Pradesh","Sultanpur","Sultanpur","Maida Atta","Maida Atta","04/02/2022","2400","2520","2470"
"Uttar Pradesh","Sultanpur","Sultanpur","Maida Atta","Maida Atta","11/02/2022","2400","2520","2460"
"Uttar Pradesh","Sultanpur","Sultanpur","Maida Atta","Maida Atta","18/02/2022","2400","2520","2450"
"Uttar Pradesh","Sultanpur","Sultanpur","Maida Atta","Maida Atta","25/02/2022","2400","2525","2450"
"Uttar Pradesh","Sultanpur","Sultanpur","Maida Atta","Maida Atta","04/03/2022","2400","2500","2450"
"Uttar Pradesh","Sultanpur","Sultanpur","Maida Atta","Maida Atta","11/03/2022","2400","2600","2500"
"Uttar Pradesh","Sultanpur","Sultanpur","Maida Atta","Maida Atta","25/03/2022","2400","2550","2500"
"Uttar Pradesh","Sultanpur","Sultanpur","Maida Atta","Maida Atta","01/04/2022","2550","2650","2600"
"Uttar Pradesh","Sultanpur","Sultanpur","Maida Atta","Maida Atta","08/04/2022","2550","2700","2630"
"Uttar Pradesh","Sultanpur","Sultanpur","Maida Atta","Maida Atta","16/04/2022","2530","2650","2600"
"Uttar Pradesh","Sultanpur","Sultanpur","Maida Atta","Maida Atta","22/04/2022","2550","2700","2610"
"Uttar Pradesh","Sultanpur","Sultanpur","Maida Atta","Maida Atta","29/04/2022","2600","2700","2650"
"Uttar Pradesh","Sultanpur","Sultanpur","Maida Atta","Maida Atta","06/05/2022","2500","2700","2630"
"Uttar Pradesh","Sultanpur","Sultanpur","Maida Atta","Maida Atta","13/05/2022","2600","2700","2650"
"Uttar Pradesh","Sultanpur","Sultanpur","Maida Atta","Maida Atta","20/05/2022","2600","2750","2690"
"Uttar Pradesh","Sultanpur","Sultanpur","Maida Atta","Maida Atta","27/05/2022","2600","2760","2700"
"Uttar Pradesh","Sultanpur","Sultanpur","Maida Atta","Maida Atta","03/06/2022","2600","2750","2690"
"Uttar Pradesh","Sultanpur","Sultanpur","Maida Atta","Maida Atta","10/06/2022","2600","2750","2680"
"Uttar Pradesh","Sultanpur","Sultanpur","Maida Atta","Maida Atta","17/06/2022","2600","2730","2670"
"Uttar Pradesh","Sultanpur","Sultanpur","Maida Atta","Maida Atta","24/06/2022","2550","2720","2650"
