"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Bihar","Rohtas","Nokha","Mango (Raw-Ripe)","Mango - Raw-Ripe","21/05/2022","6000","7000","6500"
"Bihar","Rohtas","Nokha","Mango (Raw-Ripe)","Mango - Raw-Ripe","24/05/2022","6000","7000","6500"
"Bihar","Rohtas","Nokha","Mango (Raw-Ripe)","Mango - Raw-Ripe","25/05/2022","5000","7000","6000"
"Bihar","Rohtas","Nokha","Mango (Raw-Ripe)","Mango - Raw-Ripe","28/05/2022","5000","7000","6000"
"Bihar","Rohtas","Nokha","Mango (Raw-Ripe)","Other","21/05/2022","3000","4000","3500"
"Bihar","Rohtas","Nokha","Mango (Raw-Ripe)","Other","24/05/2022","3000","4000","3500"
"Bihar","Rohtas","Nokha","Mango (Raw-Ripe)","Other","25/05/2022","3000","4000","3500"
"Bihar","Rohtas","Nokha","Mango (Raw-Ripe)","Other","28/05/2022","2000","3000","2500"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","07/02/2022","15000","18000","17000"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","08/02/2022","10000","18000","15000"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","09/02/2022","7000","16000","12500"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","17/02/2022","9000","14000","12500"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","18/02/2022","6000","11000","9500"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","19/02/2022","8000","10000","8000"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","23/02/2022","7500","10000","8000"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","24/02/2022","6500","8500","7750"
"Gujarat","Ahmedabad","Ahmedabad","Mango (Raw-Ripe)","Other","25/02/2022","6000","8000","7500"
